,RumorDate,CREDIBILITY,RELIABILITY,MARKETCAP,LASTTRADE,WEEKHIGH52,WEEKLOW52,CASH,EPS,PE,GROSSMARGINS,NETMARGINS,AVERAGEVOLUME,diff_target_SP500_price_move_10,diff_target_SP500_price_move_5,diff_target_SP500_price_move_3,target_price_move_3,target_price_move_5,target_price_move_10,"[-2,-1]","[-1,0]","[0,1]","[1,2]","[2,3]","[3,4]","[4,5]","[5,6]","[6,7]","[7,8]","[8,9]","[9,10]"
62,14-10-2017,0.940828402,0.576580113,0.012512246,0.269907107,0.041996268,0.066450866,0.002271007,0.199633549,0.012961279,0.997098085,0.58012487,0.006043128,0.086018812,0.086417521,0.093319935,0.049007309,0.156528462,0.073446431,0,0.11356304,0.232288037,0.258097819,0.216027875,0.130984643,0.049038586,0,0,0,0,0
63,16-10-2017,0.074556213,0.343434343,0.000509847,0.013589969,0.008985582,0.132112216,0.018622256,0.20017957,0.012607497,0.829947766,0.577523413,0.018553909,0.050377614,0.050889969,0.11255623,0.093313351,0.124291454,0.069729907,0,0,0.108486679,0.329579786,0.306509201,0.185846379,0.069577955,0,0,0,0,0
64,17-10-2017,0.25443787,0.987661937,0.004772367,0.09092473,0.009123101,0.016053476,0.014534444,0.200689038,0.001715306,0.849100406,0.574921956,0.045136797,0.061059876,0.039180694,0.079139075,0.053297204,0.177406141,0.073123303,0,0,0.109489051,0.266099972,0.366626628,0.187563522,0.070220826,0,0,0,0,0
68,19-10-2017,0.621301775,0.69323089,0.000971084,0.028135632,0.01164844,0.115742934,0.001968206,0.200350916,0.00291602,0.928612885,0.735171696,0.077162424,0.096168394,0.042512581,0.079653197,0.041786095,0.138874553,0.074153352,0,0,0.109489051,0.266099972,0.366626628,0.187563522,0.070220826,0,0,0,0,0
67,19-10-2017,0.028402367,0.667433122,0.050283559,0.110153293,0.014336301,0.062319069,0.00333081,0.199846017,0.000182251,0.84793964,0.53433923,0.00525701,0.058821386,0.047882635,0.098630803,0.04796288,0.136627052,0.085419739,0,0,0.109489051,0.266099972,0.366626628,0.187563522,0.070220826,0,0,0,0,0
69,19-10-2017,1,0.339352813,0.08642354,0.079112351,0.025706579,0.012500658,0.035730507,0.202210586,0.005331742,0.928612885,0.475546306,0.087293474,0.059645645,0.060944333,0.104085519,0.044489027,0.138235036,0.114075622,0,0,0.109489051,0.266099972,0.366626628,0.187563522,0.070220826,0,0,0,0,0
65,19-10-2017,0.668639053,0.099882228,0.000384187,0.043675217,0.001690852,0.047528817,0.005601817,0.199905417,0.003863011,0.637840975,0.605619147,0.007892503,0.083728811,0.05194566,0.088029343,0.049536031,0.127480011,0.076917709,0,0,0.109489051,0.266099972,0.366626628,0.187563522,0.070220826,0,0,0,0,0
66,19-10-2017,0.798816568,0.813807414,0.005940779,0.089357391,0.025831596,0.01779041,0.005450416,0.200270954,0.003712922,0.503192107,0.638917794,0.015642625,0.07418517,0.049387241,0.090867461,0.039887411,0.152079442,0.105536045,0,0,0.109489051,0.266099972,0.366626628,0.187563522,0.070220826,0,0,0,0,0
70,20-10-2017,0.763313609,0.77398912,0.511238729,0.033391949,0.003109793,0.077530396,0.027857684,0.200643345,0.005195947,0.625072548,0.735171696,0.002401033,0.097068053,0.057373775,0.078733283,0.03684169,0.135593996,0.106244235,0,0,0.109489051,0.266099972,0.366626628,0.187563522,0.070220826,0,0,0,0,0
71,26-10-2017,1,0.998317537,0.000341726,0.026262472,0.013376798,0.048634139,0.004542014,0.200273239,0.010933287,0.596053395,0.319979188,0.002294453,0.064708192,0.051290077,0.082135541,0.041708504,0.13837715,0.069669798,0,0,0.108486679,0.329579786,0.306509201,0.185846379,0.069577955,0,0,0,0,0
